col_name,factors,levels,coef,w_stderr,ci_95_upper,ci_95_lower,factors_label
country_grp_2[grp 01],country_grp_2,grp 01,-7.20314143913868,0.04988735954029018,-7.105352750596011,-7.300930127681348,Country Group
country_grp_2[grp 02],country_grp_2,grp 02,-4.797027713145465,0.024098726554824496,-4.749789637467368,-4.844265788823563,Country Group
country_grp_2[grp 03],country_grp_2,grp 03,-4.417345556636789,0.02487406098546214,-4.368587678390412,-4.466103434883166,Country Group
country_grp_2[grp 04],country_grp_2,grp 04,-4.326092125197506,0.025349374276275132,-4.276402542732188,-4.375781707662823,Country Group
country_grp_2[grp 05],country_grp_2,grp 05,-4.242880226766216,0.025159130157730702,-4.193563558863361,-4.292196894669071,Country Group
country_grp_2[grp 06],country_grp_2,grp 06,-4.13591328491737,0.03759153845752287,-4.062226738266337,-4.209599831568403,Country Group
country_grp_2[grp 07],country_grp_2,grp 07,-4.09909604206294,0.030752695177988985,-4.03881492559737,-4.15937715852851,Country Group
country_grp_2[grp 08],country_grp_2,grp 08,-4.048130502986598,0.027945207002560347,-3.9933525959372824,-4.102908410035913,Country Group
country_grp_2[grp 09],country_grp_2,grp 09,-4.078227335112358,0.05041764506723696,-3.97939918633946,-4.1770554838852565,Country Group
country_grp_2[grp 10],country_grp_2,grp 10,-3.7384307052966106,0.022876467760570954,-3.6935884887229276,-3.7832729218702936,Country Group
country_grp_2[grp 01]:standardize(time_1),country_grp_2:standardize(time_1),grp 01 time_1,-1.2292136125924071,0.04897909068982903,-1.1332053032990954,-1.3252219218857189,Devt Time <=30
country_grp_2[grp 02]:standardize(time_1),country_grp_2:standardize(time_1),grp 02 time_1,-0.7218886322610427,0.03005770582306491,-0.6629698267735522,-0.7808074377485332,Devt Time <=30
country_grp_2[grp 03]:standardize(time_1),country_grp_2:standardize(time_1),grp 03 time_1,-0.8838818478494229,0.039662840302438655,-0.8061351566476094,-0.9616285390512365,Devt Time <=30
country_grp_2[grp 04]:standardize(time_1),country_grp_2:standardize(time_1),grp 04 time_1,-0.23831483696182598,0.034026879976372576,-0.17161569716468045,-0.3050139767589715,Devt Time <=30
country_grp_2[grp 05]:standardize(time_1),country_grp_2:standardize(time_1),grp 05 time_1,-0.5127046518571483,0.0395415902025121,-0.435195633852849,-0.5902136698614476,Devt Time <=30
country_grp_2[grp 06]:standardize(time_1),country_grp_2:standardize(time_1),grp 06 time_1,-0.5902767614917995,0.06276558163435485,-0.46724431459141014,-0.7133092083921889,Devt Time <=30
country_grp_2[grp 07]:standardize(time_1),country_grp_2:standardize(time_1),grp 07 time_1,-0.8633927279880478,0.05327598721905864,-0.7589616863579493,-0.9678237696181463,Devt Time <=30
country_grp_2[grp 08]:standardize(time_1),country_grp_2:standardize(time_1),grp 08 time_1,-0.4843175369626321,0.04835445682523511,-0.38953362853961787,-0.5791014453856462,Devt Time <=30
country_grp_2[grp 09]:standardize(time_1),country_grp_2:standardize(time_1),grp 09 time_1,-0.31550157746922697,0.0757757178074562,-0.16696679559154484,-0.4640363593469091,Devt Time <=30
country_grp_2[grp 10]:standardize(time_1),country_grp_2:standardize(time_1),grp 10 time_1,-0.12478691660890753,0.03477753964588346,-0.05661634145619748,-0.19295749176161758,Devt Time <=30
tail_grp[tail grp 01]:standardize(time_2),tail_grp:standardize(time_2),tail grp 01 time_2,-2.5694815498301,0.06647025688602197,-2.4391872366438343,-2.6997758630163653,Tail Devt Time >30
tail_grp[tail grp 02]:standardize(time_2),tail_grp:standardize(time_2),tail grp 02 time_2,-1.5409058143807626,0.017825024063228813,-1.505965385734165,-1.57584624302736,Tail Devt Time >30
